time,normal_state,attack_state
0,0.0,0.0
1,0.09983341664682815,0.09983341664682815
2,0.19866933079506122,0.19866933079506122
3,0.29552020666133955,0.29552020666133955
4,0.3894183423086505,0.3894183423086505
5,0.479425538604203,0.479425538604203
6,0.5646424733950354,0.5646424733950354
7,0.644217687237691,0.644217687237691
8,0.7173560908995228,0.7173560908995228
9,0.7833269096274834,0.7833269096274834
10,0.8414709848078965,0.8414709848078965
11,0.8912073600614354,0.8912073600614354
12,0.9320390859672263,0.9320390859672263
13,0.963558185417193,0.963558185417193
14,0.9854497299884601,0.9854497299884601
15,0.9974949866040544,0.9974949866040544
16,0.9995736030415051,0.9995736030415051
17,0.9916648104524686,0.9916648104524686
18,0.9738476308781951,0.9738476308781951
19,0.9463000876874145,0.9463000876874145
20,0.9092974268256817,0.0
21,0.8632093666488737,0.0
22,0.8084964038195901,0.0
23,0.7457052121767203,0.0
24,0.675463180551151,0.0
25,0.5984721441039565,0.0
26,0.5155013718214642,0.0
27,0.4273798802338298,0.0
28,0.3349881501559051,0.0
29,0.23924932921398243,0.0
30,0.1411200080598672,0.0
31,0.04158066243329049,0.0
32,-0.058374143427580086,0.0
33,-0.1577456941432482,0.0
34,-0.2555411020268312,0.0
35,-0.35078322768961984,0.0
36,-0.44252044329485246,0.0
37,-0.5298361409084934,0.0
38,-0.6118578909427189,0.0
39,-0.6877661591839738,0.0
